EVENT,10,55,169.254.13.198,SEND,1448,0,10.011950
EVENT,10,56,169.254.13.198,SEND,1448,0,10.011962
EVENT,10,57,169.254.13.198,SEND,1448,0,10.011979
EVENT,10,58,169.254.13.198,SEND,1448,0,10.011987
EVENT,10,59,169.254.13.198,SEND,1448,0,10.011999
EVENT,10,60,169.254.13.198,SEND,1448,0,10.012015
EVENT,10,61,169.254.13.198,SEND,1448,0,10.012024
EVENT,10,62,169.254.13.198,SEND,1448,0,10.012040
EVENT,10,63,169.254.13.198,SEND,1448,0,10.012048
EVENT,10,64,169.254.13.198,SEND,1448,0,10.012065
EVENT,10,65,169.254.13.198,SEND,1448,0,10.012072
EVENT,10,66,169.254.13.198,SEND,1448,0,10.012090
EVENT,10,67,169.254.13.198,SEND,1448,0,10.012098
EVENT,10,68,169.254.13.198,SEND,1448,0,10.012114
EVENT,10,69,169.254.13.198,SEND,1448,0,10.012122
EVENT,10,70,169.254.13.198,SEND,1448,0,10.012139
EVENT,10,71,169.254.13.198,SEND,1448,0,10.012147
CONN,90,172.27.242.163,6294,->,169.254.13.198,80,6.012164
EVENT,90,0,169.254.13.198,SEND,1460,0,10.012164
EVENT,10,72,169.254.13.198,SEND,1448,0,10.012159
EVENT,10,73,169.254.13.198,SEND,1448,0,10.012170
EVENT,10,74,169.254.13.198,SEND,1448,0,10.012188
EVENT,10,75,169.254.13.198,SEND,1448,0,10.012195
EVENT,56,4,172.27.242.163,SEND,1,0,10.011139
EVENT,66,2,172.27.242.163,WAIT,2920,0.001684,10.012502
CONN,96,172.27.242.163,58570,->,169.254.13.198,80,6.012773
EVENT,96,0,169.254.13.198,SEND,1460,0,10.012773
CONN,62,172.27.242.163,44774,->,169.254.13.198,80,6.007894
EVENT,62,0,172.27.242.163,SEND,279,0,10.007894
EVENT,62,1,169.254.13.198,WAIT,278,0.000000,10.012795
EVENT,52,6,172.27.242.163,SEND,1,0,10.011745
EVENT,96,1,169.254.13.198,SEND,1460,0,10.012777
CONN,98,172.27.242.163,24718,->,169.254.13.198,80,6.012885
EVENT,98,0,169.254.13.198,SEND,1460,0,10.012885
EVENT,10,76,169.254.13.198,SEND,1448,0,10.012212
EVENT,98,1,169.254.13.198,SEND,2920,0,10.012954
EVENT,10,77,169.254.13.198,SEND,1448,0,10.012956
EVENT,96,2,169.254.13.198,SEND,1460,0,10.012923
EVENT,10,78,169.254.13.198,SEND,1448,0,10.012968
EVENT,10,79,169.254.13.198,SEND,1448,0,10.012982
